Network,School ID,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
ES Network - Englewood-Gresham,610112,Parker,836,1,0.1,809,96.8,0,0.0,2,0.2,21,2.5,2,0.2,0,0.0,0,0.0,1,0.1,,,
ES Network - Englewood-Gresham,609941,Randolph Magnet,538,2,0.4,520,96.7,0,0.0,0,0.0,14,2.6,1,0.2,0,0.0,1,0.2,0,0.0,,,
ES Network - Englewood-Gresham,610153,Ryder,305,1,0.3,284,93.1,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,19,6.2,,,
ES Network - Englewood-Gresham,610173,Sherwood,312,0,0.0,304,97.4,0,0.0,0,0.0,5,1.6,2,0.6,0,0.0,0,0.0,1,0.3,,,
ES Network - Englewood-Gresham,610339,Stagg,535,0,0.0,515,96.3,0,0.0,1,0.2,5,0.9,2,0.4,2,0.4,0,0.0,10,1.9,,,
ES Network - Englewood-Gresham,610223,Wentworth,333,0,0.0,323,97.0,0,0.0,4,1.2,4,1.2,2,0.6,0,0.0,0,0.0,0,0.0,,,
ES Network - Englewood-Gresham,610285,Woods,371,1,0.3,365,98.4,0,0.0,0,0.0,3,0.8,1,0.3,0,0.0,1,0.3,0,0.0,,,
ES Network - Fullerton,609780,Ames Middle,480,7,1.5,28,5.8,0,0.0,3,0.6,440,91.7,1,0.2,0,0.0,0,0.0,1,0.2,,,
ES Network - Fullerton,609789,Barry,804,15,1.9,6,0.7,0,0.0,2,0.2,763,94.9,9,1.1,9,1.1,0,0.0,0,0.0,,,
ES Network - Fullerton,609922,Belmont-Cragin,613,21,3.4,11,1.8,0,0.0,4,0.7,474,77.3,4,0.7,2,0.3,1,0.2,96,15.7,,,
ES Network - Fullerton,609809,Brentano,426,21,4.9,18,4.2,0,0.0,2,0.5,361,84.7,2,0.5,1,0.2,0,0.0,21,4.9,,,
ES Network - Fullerton,609818,Burbank,999,13,1.3,67,6.7,0,0.0,6,0.6,897,89.8,4,0.4,8,0.8,4,0.4,0,0.0,,,
ES Network - Fullerton,610539,Camras,985,74,7.5,11,1.1,0,0.0,11,1.1,872,88.5,5,0.5,10,1.0,0,0.0,2,0.2,,,
ES Network - Fullerton,609853,Chase,511,17,3.3,17,3.3,0,0.0,1,0.2,469,91.8,1,0.2,1,0.2,1,0.2,4,0.8,,,
ES Network - Fullerton,609875,Darwin,584,17,2.9,59,10.1,0,0.00,0,0.0,505,86.5,1,0.2,2,0.3,0,0.0,0,0.0,,,
ES Network - Fullerton,609896,Drummond Magnet,353,124,35.1,19,5.4,0,0.0,0,0.0,163,46.2,26,7.4,19,5.4,0,0.0,2,0.6,,,
ES Network - Fullerton,609910,Falconer,"1,441",58,4.0,20,1.4,0,0.0,5,0.3,"1,328",92.2,4,0.3,13,0.9,4,0.3,9,0.6,,,
ES Network - Fullerton,609926,Franklin Magnet,365,119,32.6,129,35.3,0,0.0,0,0.0,74,20.3,20,5.5,23,6.3,0,0.0,0,0.0,,,
