Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Ravenswood-Ridge Elementary Network,610147,5630,Rogers,730,139,19,109,14.9,0,0,6,0.8,300,41.1,10,1.4,162,22.2,2,0.3,2,0.3,,,
North-Northwest Side High School Network,609728,1520,Roosevelt HS,1497,110,7.3,157,10.5,2,0.1,5,0.3,1106,73.9,5,0.3,99,6.6,1,0.1,12,0.8,,,
Fulton Elementary Network,610320,7510,Roque De Duprey,114,4,3.5,31,27.2,0,0,1,0.9,75,65.8,2,1.8,1,0.9,0,0,0,0,,,
Burnham Park Elementary Network,610150,5650,Ross,350,1,0.3,343,98,0,0,0,0,5,1.4,1,0.3,0,0,0,0,0,0,,,
Fulton Elementary Network,400096,8077,Rowe,350,6,1.7,61,17.4,0,0,2,0.6,248,70.9,4,1.1,2,0.6,0,0,27,7.7,,,
Fulton Elementary Network,610308,7350,Rudolph Lrng Ctr,100,8,8,38,38,0,0,0,0,47,47,2,2,1,1,0,0,4,4,,,
Skyway Elementary Network,610152,5660,Ruggles,417,0,0,406,97.4,0,0,0,0,7,1.7,2,0.5,0,0,2,0.5,0,0,,,
Pilsen-Little Village Elementary Network,610125,5390,Ruiz,913,15,1.6,2,0.2,0,0,5,0.5,883,96.7,3,0.3,0,0,0,0,5,0.5,,,
Englewood-Gresham Elementary Network,610153,5670,Ryder,302,1,0.3,292,96.7,0,0,0,0,1,0.3,4,1.3,0,0,0,0,4,1.3,,,
Garfield-Humboldt Elementary Network,610154,5680,Ryerson,443,2,0.5,438,98.9,0,0,0,0,3,0.7,0,0,0,0,0,0,0,0,,,
Fulton Elementary Network,610548,8678,STEM Elementary,227,41,18.1,78,34.4,2,0.9,1,0.4,55,24.2,6,2.6,32,14.1,2,0.9,10,4.4,,,
Fulton Elementary Network,610342,7790,Sabin Magnet,622,7,1.1,100,16.1,0,0,8,1.3,493,79.3,6,1,7,1.1,0,0,1,0.2,,,
Fullerton Elementary Network,610250,6720,Salazar Bilingual,444,17,3.8,72,16.2,0,0,2,0.5,339,76.4,2,0.5,9,2,1,0.2,2,0.5,,,
Midway Elementary Network,610226,6430,Sandoval,1178,13,1.1,15,1.3,0,0,1,0.1,1149,97.5,0,0,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,610017,4250,Saucedo Magnet,1305,6,0.5,21,1.6,0,0,16,1.2,1254,96.1,1,0.1,0,0,0,0,7,0.5,,,
O'Hare Elementary Network,610155,5690,Sauganash,545,288,52.8,10,1.8,0,0,3,0.6,136,25,15,2.8,91,16.7,2,0.4,0,0,,,
Midway Elementary Network,610157,5710,Sawyer,1828,21,1.1,5,0.3,0,0,3,0.2,1796,98.2,2,0.1,0,0,0,0,1,0.1,,,
Austin-North Lawndale Elementary Network,610158,5720,Sayre,605,63,10.4,244,40.3,0,0,4,0.7,258,42.6,28,4.6,8,1.3,0,0,0,0,,,
O'Hare Elementary Network,610159,5730,Scammon,924,61,6.6,9,1,0,0,7,0.8,798,86.4,5,0.5,18,1.9,1,0.1,25,2.7,,,
South Side High School Network,610297,7230,Sch Of Leadership HS,731,1,0.1,719,98.4,0,0,0,0,4,0.5,2,0.3,1,0.1,1,0.1,3,0.4,,,
West Side High School Network,610383,7600,Sch Of Social Justice HS,371,1,0.3,31,8.4,0,0,1,0.3,338,91.1,0,0,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,610178,5950,Schmid,185,0,0,174,94.1,0,0,1,0.5,8,4.3,2,1.1,0,0,0,0,0,0,,,
Fullerton Elementary Network,610165,5800,Schubert,936,32,3.4,17,1.8,0,0,1,0.1,871,93.1,5,0.5,10,1.1,0,0,0,0,,,
North-Northwest Side High School Network,609729,1530,Schurz HS,2364,152,6.4,215,9.1,4,0.2,11,0.5,1906,80.6,10,0.4,28,1.2,5,0.2,33,1.4,,,
North-Northwest Side High School Network,609730,1540,Senn HS,1051,64,6.1,351,33.4,0,0,6,0.6,462,44,27,2.6,135,12.8,6,0.6,0,0,,,
Pershing Elementary Network,610167,5820,Seward,893,9,1,4,0.4,0,0,1,0.1,835,93.5,0,0,1,0.1,0,0,43,4.8,,,
Burnham Park Elementary Network,610169,5830,Sexton,334,0,0,330,98.8,0,0,0,0,2,0.6,0,0,0,0,0,0,2,0.6,,,
Skyway Elementary Network,400072,4520,Shabazz Charter,303,0,0,298,98.3,0,0,0,0,2,0.7,2,0.7,0,0,0,0,1,0.3,,,
South Side High School Network,400073,4140,Shabazz Chrt - DuSable,398,1,0.3,392,98.5,0,0,0,0,3,0.8,0,0,0,0,0,0,2,0.5,,,
Englewood-Gresham Elementary Network,400074,5130,Shabazz Chrt - Sizmore,296,0,0,277,93.6,0,0,0,0,1,0.3,1,0.3,0,0,0,0,17,5.7,,,
Pershing Elementary Network,610081,4920,Sheridan Magnet,537,172,32,87,16.2,0,0,2,0.4,105,19.6,15,2.8,154,28.7,0,0,2,0.4,,,
Pershing Elementary Network,610172,5890,Sherman,461,0,0,446,96.7,0,0,0,0,14,3,1,0.2,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,610173,5900,Sherwood,355,0,0,348,98,0,0,0,0,3,0.8,2,0.6,0,0,0,0,2,0.6,,,
Pershing Elementary Network,610174,5910,Shields,1805,17,0.9,24,1.3,0,0,10,0.6,1715,95,0,0,1,0.1,2,0.1,36,2,,,
Burnham Park Elementary Network,610175,5920,Shoesmith,328,1,0.3,310,94.5,0,0,0,0,11,3.4,2,0.6,2,0.6,1,0.3,1,0.3,,,
Rock Island Elementary Network,610176,5930,Shoop,552,0,0,547,99.1,0,0,0,0,3,0.5,1,0.2,0,0,0,0,1,0.2,,,
South Side High School Network,609692,1150,Simeon HS,1533,0,0,1522,99.3,0,0,0,0,5,0.3,5,0.3,0,0,0,0,1,0.1,,,
West Side High School Network,609750,1750,Simpson HS,150,1,0.7,120,80,0,0,0,0,28,18.7,1,0.7,0,0,0,0,0,0,,,
Fulton Elementary Network,610177,5940,Skinner Classical,783,133,17,329,42,6,0.8,4,0.5,91,11.6,23,2.9,149,19,2,0.3,46,5.9,,,
Fullerton Elementary Network,610534,8024,Skinner North,242,86,35.5,44,18.2,1,0.4,1,0.4,27,11.2,10,4.1,57,23.6,0,0,16,6.6,,,
Lake Calumet Elementary Network,609978,3870,Smith W.,364,1,0.3,357,98.1,0,0,0,0,4,1.1,2,0.5,0,0,0,0,0,0,,,
O'Hare Elementary Network,610179,5960,Smyser,1038,390,37.6,10,1,1,0.1,4,0.4,594,57.2,4,0.4,34,3.3,1,0.1,0,0,,,
Fulton Elementary Network,610180,5970,Smyth J.,472,4,0.8,449,95.1,0,0,0,0,12,2.5,1,0.2,4,0.8,0,0,2,0.4,,,
O'Hare Elementary Network,610182,5980,Solomon,362,153,42.3,12,3.3,0,0,2,0.6,60,16.6,9,2.5,126,34.8,0,0,0,0,,,
Southwest Side High School Network,610543,8550,Solorio HS,582,11,1.9,21,3.6,0,0,1,0.2,548,94.2,1,0.2,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,610160,5740,Songhai,352,0,0,341,96.9,0,0,0,0,7,2,3,0.9,0,0,0,0,1,0.3,,,
Burnham Park Elementary Network,609990,3960,South Loop,787,223,28.3,355,45.1,1,0.1,1,0.1,70,8.9,37,4.7,76,9.7,22,2.8,2,0.3,,,
Skyway Elementary Network,610530,2015,South Shore,255,0,0,246,96.5,0,0,0,0,3,1.2,6,2.4,0,0,0,0,0,0,,,
South Side High School Network,610547,8676,South Shore Intl HS,323,1,0.3,312,96.6,0,0,1,0.3,7,2.2,1,0.3,0,0,1,0.3,0,0,,,
Southwest Side High School Network,609745,1700,Southside Occp HS,201,7,3.5,155,77.1,0,0,1,0.5,36,17.9,1,0.5,0,0,1,0.5,0,0,,,
Austin-North Lawndale Elementary Network,610183,6000,Spencer,809,1,0.1,798,98.6,0,0,0,0,10,1.2,0,0,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,610184,6010,Spry,803,4,0.5,11,1.4,0,0,0,0,786,97.9,0,0,0,0,0,0,2,0.2,,,
West Side High School Network,610357,7930,Spry Comm Links HS,195,2,1,1,0.5,0,0,0,0,192,98.5,0,0,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,610339,7760,Stagg,538,0,0,530,98.5,0,0,1,0.2,4,0.7,1,0.2,0,0,0,0,2,0.4,,,
North-Northwest Side High School Network,609732,1560,Steinmetz HS,1890,190,10.1,283,15,0,0,11,0.6,1359,71.9,8,0.4,35,1.9,3,0.2,1,0.1,,,
Midway Elementary Network,610185,6030,Stevenson,1306,63,4.8,75,5.7,0,0,13,1,1084,83,4,0.3,4,0.3,1,0.1,62,4.7,,,
Ravenswood-Ridge Elementary Network,610187,6040,Stewart,279,7,2.5,145,52,0,0,1,0.4,106,38,4,1.4,14,5,2,0.7,0,0,,,
O'Hare Elementary Network,610163,5770,Stock,259,184,71,5,1.9,0,0,1,0.4,41,15.8,6,2.3,10,3.9,0,0,12,4.6,,,
Ravenswood-Ridge Elementary Network,610189,6060,Stockton,457,30,6.6,218,47.7,0,0,4,0.9,158,34.6,13,2.8,32,7,2,0.4,0,0,,,
Ravenswood-Ridge Elementary Network,610191,6070,Stone Magnet,647,226,34.9,112,17.3,3,0.5,4,0.6,117,18.1,29,4.5,150,23.2,2,0.3,4,0.6,,,
Garfield-Humboldt Elementary Network,610192,6080,Stowe,886,8,0.9,72,8.1,0,0,6,0.7,794,89.6,5,0.6,0,0,0,0,1,0.1,,,
Fulton Elementary Network,610405,6340,Suder Montessori,350,49,14,188,53.7,0,0,0,0,66,18.9,12,3.4,13,3.7,0,0,22,6.3,,,
Skyway Elementary Network,610193,6100,Sullivan,524,5,1,367,70,0,0,1,0.2,138,26.3,8,1.5,0,0,0,0,5,1,,,
North-Northwest Side High School Network,609733,1570,Sullivan HS,827,32,3.9,372,45,0,0,4,0.5,281,34,18,2.2,115,13.9,2,0.2,3,0.4,,,
Rock Island Elementary Network,610553,8683,Summers Elem,17,0,0,15,88.2,0,0,0,0,2,11.8,0,0,0,0,0,0,0,0,,,
Far South Side High School Network,610554,8684,Summers HS,65,0,0,62,95.4,0,0,0,0,3,4.6,0,0,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,610194,6110,Sumner,426,0,0,409,96,0,0,1,0.2,6,1.4,0,0,0,0,0,0,10,2.3,,,
Rock Island Elementary Network,610195,6120,Sutherland,758,313,41.3,349,46,0,0,1,0.1,49,6.5,14,1.8,4,0.5,0,0,28,3.7,,,
Ravenswood-Ridge Elementary Network,610196,6130,Swift,705,121,17.2,234,33.2,0,0,10,1.4,230,32.6,21,3,86,12.2,3,0.4,0,0,,,
Southwest Side High School Network,610506,8080,TEAM HS,440,0,0,434,98.6,0,0,0,0,5,1.1,1,0.2,0,0,0,0,0,0,,,
North-Northwest Side High School Network,609734,1580,Taft HS,2921,1429,48.9,69,2.4,0,0,14,0.5,1151,39.4,52,1.8,204,7,2,0.1,0,0,,,
Fulton Elementary Network,610197,6140,Talcott,579,41,7.1,47,8.1,0,0,2,0.3,471,81.3,11,1.9,7,1.2,0,0,0,0,,,
Midway Elementary Network,610249,6680,Talman,370,4,1.1,3,0.8,0,0,0,0,356,96.2,0,0,0,0,0,0,7,1.9,,,
Skyway Elementary Network,610279,6970,Tanner,449,2,0.4,443,98.7,0,0,0,0,2,0.4,0,0,0,0,0,0,2,0.4,,,
Midway Elementary Network,610396,7160,Tarkington,1065,5,0.5,228,21.4,0,0,10,0.9,804,75.5,11,1,1,0.1,0,0,6,0.6,,,
Lake Calumet Elementary Network,610198,6150,Taylor,633,10,1.6,60,9.5,0,0,9,1.4,554,87.5,0,0,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,609921,3380,Telpochcalli,284,3,1.1,5,1.8,0,0,2,0.7,270,95.1,2,0.7,0,0,0,0,2,0.7,,,
Pershing Elementary Network,610504,6710,Thomas,210,7,3.3,4,1.9,0,0,0,0,93,44.3,4,1.9,0,0,0,0,102,48.6,,,
Skyway Elementary Network,610200,6180,Thorp J. N.,449,3,0.7,361,80.4,0,0,1,0.2,84,18.7,0,0,0,0,0,0,0,0,,,
O'Hare Elementary Network,610201,6190,Thorp O. A. Magnet,834,258,30.9,104,12.5,1,0.1,8,1,338,40.5,44,5.3,75,9,3,0.4,3,0.4,,,
Southwest Side High School Network,610375,7580,Tilden AA HS,128,1,0.8,92,71.9,0,0,1,0.8,34,26.6,0,0,0,0,0,0,0,0,,,
Southwest Side High School Network,609735,1590,Tilden HS,463,22,4.8,331,71.5,0,0,1,0.2,94,20.3,0,0,13,2.8,1,0.2,1,0.2,,,
Burnham Park Elementary Network,610065,4740,Till,471,0,0,460,97.7,0,0,0,0,10,2.1,0,0,0,0,0,0,1,0.2,,,
Garfield-Humboldt Elementary Network,610202,6210,Tilton,319,0,0,313,98.1,0,0,0,0,4,1.3,0,0,0,0,0,0,2,0.6,,,
Midway Elementary Network,610203,6220,Tonti,1004,8,0.8,32,3.2,0,0,5,0.5,951,94.7,3,0.3,1,0.1,0,0,4,0.4,,,
Ravenswood-Ridge Elementary Network,610205,6230,Trumbull,430,56,13,59,13.7,0,0,6,1.4,260,60.5,5,1.2,44,10.2,0,0,0,0,,,
Rock Island Elementary Network,609895,3110,Turner-Drew Magnet,373,0,0,357,95.7,0,0,1,0.3,10,2.7,4,1.1,1,0.3,0,0,0,0,,,
Midway Elementary Network,610206,6240,Twain,1154,276,23.9,10,0.9,0,0,0,0,856,74.2,6,0.5,6,0.5,0,0,0,0,,,
Burnham Park Elementary Network,400075,2600,U Of C Chrt - Donoghue,475,2,0.4,465,97.9,0,0,0,0,5,1.1,1,0.2,0,0,0,0,2,0.4,,,
Burnham Park Elementary Network,400076,3060,U Of C Chrt - North Kenwood,330,6,1.8,316,95.8,0,0,0,0,3,0.9,4,1.2,0,0,0,0,1,0.3,,,
South Side High School Network,400077,3061,U Of C Chrt - Woodlawn,517,3,0.6,504,97.5,1,0.2,0,0,4,0.8,1,0.2,1,0.2,1,0.2,2,0.4,,,
Burnham Park Elementary Network,400078,3062,U of C Chrt - Woodson,392,0,0,388,99,0,0,0,0,2,0.5,2,0.5,0,0,0,0,0,0,,,
Midway Elementary Network,400112,8671,UNO Charter - 51st Homan,566,3,0.5,1,0.2,0,0,5,0.9,549,97,0,0,0,0,0,0,8,1.4,,,
Pershing Elementary Network,400101,8094,UNO Charter - Gage Park,570,1,0.2,2,0.4,0,0,1,0.2,562,98.6,0,0,0,0,0,0,4,0.7,,,
Southwest Side High School Network,400085,3343,UNO Charter - Major Garcia,591,3,0.5,2,0.3,0,0,3,0.5,579,98,0,0,2,0.3,0,0,2,0.3,,,
Pershing Elementary Network,400089,3346,UNO Charter - Marquez,576,1,0.2,7,1.2,0,0,1,0.2,550,95.5,0,0,0,0,0,0,17,3,,,
Fulton Elementary Network,400114,8093,UNO Charter - St Marks,237,2,0.8,13,5.5,0,0,1,0.4,218,92,0,0,0,0,0,0,3,1.3,,,
Fullerton Elementary Network,400082,3342,UNO Chrt - Fuentes,547,5,0.9,3,0.5,0,0,0,0,531,97.1,2,0.4,3,0.5,0,0,3,0.5,,,
Pilsen-Little Village Elementary Network,400081,3341,UNO Chrt - Las Casas,285,1,0.4,1,0.4,0,0,1,0.4,278,97.5,2,0.7,0,0,0,0,2,0.7,,,
Midway Elementary Network,400080,3345,UNO Chrt - PFC Torres,640,3,0.5,9,1.4,0,0,2,0.3,612,95.6,1,0.2,0,0,0,0,13,2,,,
Pilsen-Little Village Elementary Network,400083,5810,UNO Chrt - Paz Interm,432,0,0,60,13.9,0,0,0,0,358,82.9,0,0,0,0,0,0,14,3.2,,,
Midway Elementary Network,400079,3344,UNO Chrt - SPC Zizumbo,640,7,1.1,2,0.3,0,0,2,0.3,580,90.6,0,0,5,0.8,0,0,44,6.9,,,
Midway Elementary Network,400084,3340,UNO Chrt - Tamayo,288,3,1,0,0,0,0,0,0,285,99,0,0,0,0,0,0,0,0,,,
North-Northwest Side High School Network,610394,2210,Uplift Community HS,471,7,1.5,383,81.3,0,0,1,0.2,53,11.3,7,1.5,19,4,1,0.2,0,0,,,
West Side High School Network,400102,8096,Urban Prep Acad - E Garfield HS,373,0,0,365,97.9,0,0,0,0,5,1.3,3,0.8,0,0,0,0,0,0,,,
South Side High School Network,400105,8027,Urban Prep Acad - So Shore HS,268,0,0,260,97,0,0,0,0,5,1.9,1,0.4,0,0,0,0,2,0.7,,,
Southwest Side High School Network,400086,7030,Urban Prep Chtr HS,482,0,0,438,90.9,0,0,0,0,2,0.4,2,0.4,0,0,0,0,40,8.3,,,
West Side High School Network,610518,1145,VOISE HS,411,0,0,397,96.6,0,0,0,0,10,2.4,3,0.7,0,0,0,0,1,0.2,,,
Rock Island Elementary Network,610207,6250,Vanderpoel Magnet,317,1,0.3,313,98.7,0,0,0,0,3,0.9,0,0,0,0,0,0,0,0,,,
North-Northwest Side High School Network,609766,1920,Vaughn Occp HS,202,31,15.3,73,36.1,0,0,0,0,93,46,0,0,5,2.5,0,0,0,0,,,
Rock Island Elementary Network,609871,2920,Vick EC Ctr,204,134,65.7,35,17.2,0,0,0,0,26,12.7,6,2.9,2,1,1,0.5,0,0,,,
O'Hare Elementary Network,610209,6270,Volta,1016,82,8.1,37,3.6,1,0.1,6,0.6,642,63.2,2,0.2,246,24.2,0,0,0,0,,,
Fulton Elementary Network,610210,6280,Von Humboldt,392,2,0.5,180,45.9,0,0,2,0.5,194,49.5,2,0.5,0,0,1,0.3,11,2.8,,,
North-Northwest Side High School Network,609737,1610,Von Steuben HS,1635,357,21.8,259,15.8,0,0,20,1.2,774,47.3,29,1.8,193,11.8,3,0.2,0,0,,,
Rock Island Elementary Network,610366,8030,Wacker,243,0,0,241,99.2,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0,,,
Burnham Park Elementary Network,610213,6300,Wadsworth,277,1,0.4,273,98.6,0,0,0,0,3,1.1,0,0,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,610216,6320,Walsh,499,15,3,27,5.4,0,0,1,0.2,447,89.6,0,0,6,1.2,1,0.2,2,0.4,,,
Pershing Elementary Network,610217,6330,Ward J.,486,14,2.9,99,20.4,12,2.5,4,0.8,63,13,9,1.9,281,57.8,0,0,4,0.8,,,
Garfield-Humboldt Elementary Network,610133,5470,Ward L.,428,2,0.5,410,95.8,0,0,0,0,15,3.5,1,0.2,0,0,0,0,0,0,,,
Skyway Elementary Network,610218,6350,Warren,329,1,0.3,316,96,0,0,1,0.3,6,1.8,4,1.2,0,0,0,0,1,0.3,,,
Lake Calumet Elementary Network,610219,6360,Washington G.,812,77,9.5,21,2.6,0,0,12,1.5,690,85,9,1.1,3,0.4,0,0,0,0,,,
Far South Side High School Network,609739,1630,Washington G. HS,1525,99,6.5,113,7.4,0,0,12,0.8,1283,84.1,3,0.2,3,0.2,1,0.1,11,0.7,,,
Skyway Elementary Network,610124,5380,Washington H.,549,0,0,542,98.7,0,0,0,0,7,1.3,0,0,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610220,6370,Waters,581,233,40.1,16,2.8,1,0.2,2,0.3,272,46.8,31,5.3,19,3.3,2,0.3,5,0.9,,,
Garfield-Humboldt Elementary Network,610221,6380,Webster,369,0,0,369,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
West Side High School Network,609740,1640,Wells HS,630,14,2.2,287,45.6,0,0,4,0.6,315,50,9,1.4,1,0.2,0,0,0,0,,,
Burnham Park Elementary Network,610110,5250,Wells Prep,215,0,0,190,88.4,0,0,0,0,2,0.9,1,0.5,0,0,0,0,22,10.2,,,
Englewood-Gresham Elementary Network,610223,6390,Wentworth,363,0,0,350,96.4,0,0,6,1.7,5,1.4,2,0.6,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,610100,5140,West Park,684,3,0.4,209,30.6,0,0,3,0.4,467,68.3,1,0.1,1,0.1,0,0,0,0,,,
Lake Calumet Elementary Network,610224,6400,West Pullman,340,0,0,337,99.1,0,0,0,0,3,0.9,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,610300,7260,Westcott,412,0,0,407,98.8,0,0,0,0,3,0.7,2,0.5,0,0,0,0,0,0,,,
West Side High School Network,609693,1160,Westinghouse HS,828,10,1.2,564,68.1,0,0,2,0.2,214,25.8,10,1.2,28,3.4,0,0,0,0,,,
Lake Calumet Elementary Network,610225,6420,Whistler,376,0,0,375,99.7,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,610315,7440,White,138,0,0,132,95.7,0,0,0,0,1,0.7,0,0,0,0,0,0,5,3.6,,,
Pilsen-Little Village Elementary Network,610227,6440,Whitney,1126,5,0.4,5,0.4,0,0,1,0.1,1108,98.4,1,0.1,0,0,0,0,6,0.5,,,
Pilsen-Little Village Elementary Network,610228,6450,Whittier,406,1,0.2,0,0,0,0,0,0,398,98,3,0.7,2,0.5,0,0,2,0.5,,,
O'Hare Elementary Network,610230,6470,Wildwood Magnet,412,226,54.9,20,4.9,0,0,1,0.2,103,25,18,4.4,40,9.7,4,1,0,0,,,
Burnham Park Elementary Network,610232,6490,Williams,266,1,0.4,260,97.7,0,0,0,0,4,1.5,1,0.4,0,0,0,0,0,0,,,
Burnham Park Elementary Network,610336,7720,Williams Middle,125,0,0,121,96.8,0,0,0,0,2,1.6,2,1.6,0,0,0,0,0,0,,,
South Side High School Network,610380,7200,Williams Prep Med HS,324,0,0,304,93.8,0,0,0,0,16,4.9,2,0.6,2,0.6,0,0,0,0,,,
Burnham Park Elementary Network,609977,3860,Woodlawn,236,0,0,233,98.7,0,0,0,0,2,0.8,1,0.4,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,610285,7080,Woods,401,1,0.2,396,98.8,0,0,0,0,2,0.5,1,0.2,0,0,1,0.2,0,0,,,
Burnham Park Elementary Network,610345,7820,Woodson South,329,0,0,320,97.3,0,0,0,0,9,2.7,0,0,0,0,0,0,0,0,,,
West Side High School Network,610392,4460,World Language HS,379,2,0.5,25,6.6,0,0,2,0.5,347,91.6,0,0,0,0,0,0,3,0.8,,,
Ravenswood-Ridge Elementary Network,610542,8440,Wst Ridge,648,191,29.5,46,7.1,0,0,5,0.8,185,28.5,7,1.1,210,32.4,4,0.6,0,0,,,
Skyway Elementary Network,610233,6500,Yale,182,1,0.5,181,99.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Fullerton Elementary Network,610234,6510,Yates,684,14,2,89,13,0,0,4,0.6,571,83.5,1,0.1,0,0,1,0.1,4,0.6,,,
South Side High School Network,400087,2490,Yng Women Ldrshp Chrt,324,17,5.2,254,78.4,0,0,1,0.3,34,10.5,6,1.9,0,0,0,0,12,3.7,,,
West Side High School Network,609748,1730,York Alt HS,338,12,3.6,269,79.6,0,0,2,0.6,54,16,1,0.3,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610235,6520,Young,1105,0,0,973,88.1,1,0.1,3,0.3,115,10.4,6,0.5,1,0.1,2,0.2,4,0.4,,,
West Side High School Network,609755,1810,Young Magnet HS,2165,641,29.6,567,26.2,0,0,10,0.5,479,22.1,91,4.2,377,17.4,0,0,0,0,,,
South Side High School Network,609686,1121,Youth Connect Chrt,4030,62,1.5,2842,70.5,1,0.02,8,0.2,1075,26.7,22,0.5,14,0.3,1,0,5,0.1,,,
Pilsen-Little Village Elementary Network,609973,3820,Zapata,976,0,0,3,0.3,0,0,0,0,973,99.7,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dsitrict Totals,,,,"404,151","35,528",8.8,"168,020",41.6,142,0.04,"1,427",0.4,"178,284",44.1,"4,390",1.1,"13,270",3.3,476,0.1,"2,614",0.6,,,
