Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Fullerton Elementary Network,400030,7120,CICS - W. Belden,500,4,0.8,32,6.4,0,0,0,0,444,88.8,0,0,2,0.4,0,0,18,3.6,,,
Pershing Elementary Network,400024,7130,CICS- Basil,730,1,0.1,669,91.6,0,0,0,0,50,6.8,1,0.1,2,0.3,1,0.1,6,0.8,,,
Lake Calumet Elementary Network,400028,4220,CICS- Prairie,403,0,0,226,56.1,0,0,0,0,176,43.7,1,0.2,0,0,0,0,0,0,,,
Burnham Park Elementary Network,400029,2290,CICS- Washington,446,0,0,444,99.6,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,,,
Midway Elementary Network,400031,3180,CICS- Wrightwood,709,2,0.3,650,91.7,0,0,0,0,15,2.1,40,5.6,1,0.1,0,0,1,0.1,,,
Skyway Elementary Network,609833,2580,Caldwell,289,0,0,285,98.6,0,0,1,0.3,3,1,0,0,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,610243,6610,Calhoun North,328,0,0,325,99.1,0,0,0,0,2,0.6,1,0.3,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,609835,2610,Cameron,822,9,1.1,334,40.6,0,0,0,0,477,58,1,0.1,0,0,0,0,1,0.1,,,
Fullerton Elementary Network,610539,8600,Camras,823,74,9,16,1.9,0,0,10,1.2,710,86.3,3,0.4,10,1.2,0,0,0,0,,,
Burnham Park Elementary Network,610018,4260,Canter Middle,221,1,0.5,204,92.3,0,0,1,0.5,10,4.5,4,1.8,1,0.5,0,0,0,0,,,
O'Hare Elementary Network,609836,2620,Canty,780,429,55,8,1,0,0,5,0.6,281,36,28,3.6,26,3.3,0,0,3,0.4,,,
Pilsen-Little Village Elementary Network,610024,4320,Cardenas,641,4,0.6,6,0.9,0,0,3,0.5,626,97.7,1,0.2,0,0,0,0,1,0.2,,,
Burnham Park Elementary Network,609837,2630,Carnegie,725,3,0.4,676,93.2,0,0,0,0,7,1,2,0.3,0,0,0,0,37,5.1,,,
Midway Elementary Network,609839,2650,Carroll,536,1,0.2,508,94.8,0,0,0,0,23,4.3,3,0.6,0,0,1,0.2,0,0,,,
Midway Elementary Network,609842,2660,Carson,1218,4,0.3,51,4.2,0,0,19,1.6,1143,93.8,1,0.1,0,0,0,0,0,0,,,
Burnham Park Elementary Network,609844,2670,Carter,370,0,0,367,99.2,0,0,0,0,1,0.3,1,0.3,0,0,1,0.3,0,0,,,
Lake Calumet Elementary Network,609845,2690,Carver Elementary,542,0,0,541,99.8,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,,,
Far South Side High School Network,609760,1850,Carver Mil Acad HS,532,7,1.3,268,50.4,0,0,0,0,254,47.7,1,0.2,2,0.4,0,0,0,0,,,
Garfield-Humboldt Elementary Network,610021,4290,Casals,504,1,0.2,254,50.4,0,0,0,0,244,48.4,5,1,0,0,0,0,0,0,,,
Rock Island Elementary Network,609849,2720,Cassell,350,261,74.6,46,13.1,0,0,1,0.3,31,8.9,9,2.6,2,0.6,0,0,0,0,,,
Pilsen-Little Village Elementary Network,609826,2510,Castellanos,525,1,0.2,7,1.3,0,0,0,0,517,98.5,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,400020,4370,Catalyst Chrt - Howland,507,0,0,498,98.2,0,0,0,0,3,0.6,0,0,0,0,0,0,6,1.2,,,
Austin-North Lawndale Elementary Network,400021,4371,Catalyst Circle Rock,520,0,0,489,94,0,0,0,0,1,0.2,2,0.4,0,0,1,0.2,27,5.2,,,
Garfield-Humboldt Elementary Network,610251,6730,Cather,234,0,0,227,97,0,0,0,0,6,2.6,1,0.4,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,609851,2740,Chalmers,287,0,0,281,97.9,0,0,0,0,5,1.7,0,0,0,0,0,0,1,0.3,,,
Ravenswood-Ridge Elementary Network,609852,2750,Chappell,446,60,13.5,21,4.7,0,0,2,0.4,288,64.6,12,2.7,62,13.9,0,0,1,0.2,,,
Fullerton Elementary Network,609853,2760,Chase,503,20,4,17,3.4,0,0,0,0,464,92.2,0,0,2,0.4,0,0,0,0,,,
Pershing Elementary Network,610148,5640,Chavez,913,7,0.8,51,5.6,0,0,2,0.2,852,93.3,1,0.1,0,0,0,0,0,0,,,
North-Northwest Side High School Network,400035,7940,Chgo Math/Sci Chtr,596,20,3.4,154,25.8,1,0.2,4,0.7,352,59.1,16,2.7,47,7.9,1,0.2,1,0.2,,,
O'Hare Elementary Network,610248,6670,Chicago Acad,600,156,26,40,6.7,0,0,2,0.3,365,60.8,12,2,18,3,1,0.2,6,1,,,
North-Northwest Side High School Network,610340,7770,Chicago Acad HS,503,90,17.9,117,23.3,0,0,1,0.2,270,53.7,7,1.4,16,3.2,0,0,2,0.4,,,
West Side High School Network,400091,8022,Chicago Adv Tech Acad HS,303,10,3.3,213,70.3,0,0,0,0,71,23.4,2,0.7,7,2.3,0,0,0,0,,,
Far South Side High School Network,609753,1790,Chicago Agr Sci HS,578,189,32.7,230,39.8,0,0,5,0.9,122,21.1,28,4.8,3,0.5,1,0.2,0,0,,,
South Side High School Network,400022,8047,Chicago Arts HS,437,59,13.5,231,52.9,2,0.5,1,0.2,112,25.6,24,5.5,6,1.4,0,0,2,0.5,,,
South Side High School Network,609754,1800,Chicago Mil Acad HS,482,8,1.7,361,74.9,0,0,1,0.2,85,17.6,25,5.2,0,0,0,0,2,0.4,,,
West Side High School Network,400093,8053,Chicago Talent Dev HS,200,0,0,195,97.5,0,0,0,0,3,1.5,2,1,0,0,0,0,0,0,,,
West Side High School Network,400036,7700,Chicago Virtual Chtr,598,97,16.2,303,50.7,28,4.7,1,0.2,91,15.2,24,4,42,7,5,0.8,7,1.2,,,
South Side High School Network,609675,7670,Chicago Voc AA HS,177,0,0,174,98.3,0,0,0,0,3,1.7,0,0,0,0,0,0,0,0,,,
South Side High School Network,609674,1010,Chicago Voc HS,827,0,0,811,98.1,1,0.1,1,0.1,10,1.2,2,0.2,0,0,2,0.2,0,0,,,
Fulton Elementary Network,609854,2770,Chopin,267,12,4.5,29,10.9,0,0,2,0.7,221,82.8,0,0,0,0,2,0.7,1,0.4,,,
Midway Elementary Network,609855,2780,Christopher,278,17,6.1,68,24.5,0,0,2,0.7,190,68.3,1,0.4,0,0,0,0,0,0,,,
Midway Elementary Network,610347,7830,Claremont,530,0,0,503,94.9,0,0,1,0.2,26,4.9,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,609795,2230,Clark G. R.,295,12,4.1,159,53.9,0,0,5,1.7,113,38.3,4,1.4,0,0,2,0.7,0,0,,,
West Side High School Network,610244,6620,Clark Magnet HS,733,0,0,719,98.1,0,0,1,0.1,12,1.6,1,0.1,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,609856,2790,Clay,630,90,14.3,53,8.4,0,0,3,0.5,469,74.4,14,2.2,1,0.2,0,0,0,0,,,
West Side High School Network,610401,7980,Clemente AA HS,184,4,2.2,92,50,0,0,0,0,85,46.2,2,1.1,1,0.5,0,0,0,0,,,
West Side High School Network,609759,1840,Clemente HS,1007,14,1.4,298,29.6,0,0,3,0.3,679,67.4,12,1.2,1,0.1,0,0,0,0,,,
O'Hare Elementary Network,609857,2800,Cleveland,685,44,6.4,31,4.5,1,0.1,9,1.3,555,81,5,0.7,30,4.4,1,0.1,9,1.3,,,
Ravenswood-Ridge Elementary Network,609859,2810,Clinton,1137,175,15.4,125,11,0,0,14,1.2,370,32.5,9,0.8,418,36.8,16,1.4,10,0.9,,,
Rock Island Elementary Network,609861,2820,Clissold,586,177,30.2,350,59.7,0,0,1,0.2,40,6.8,2,0.3,6,1,0,0,10,1.7,,,
Lake Calumet Elementary Network,610199,6170,Colemon J.,266,1,0.4,257,96.6,0,0,0,0,8,3,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,609862,2830,Coles,550,2,0.4,531,96.5,0,0,0,0,8,1.5,5,0.9,0,0,0,0,4,0.7,,,
West Side High School Network,610499,1045,Collins HS,409,0,0,400,97.8,0,0,0,0,3,0.7,1,0.2,0,0,0,0,5,1.2,,,
Pershing Elementary Network,610170,5860,Columbia Explorers,1033,14,1.4,6,0.6,0,0,3,0.3,1002,97,2,0.2,0,0,3,0.3,3,0.3,,,
Fulton Elementary Network,609863,2850,Columbus,309,148,47.9,17,5.5,0,0,1,0.3,136,44,5,1.6,1,0.3,1,0.3,0,0,,,
West Side High School Network,400038,1225,Community Service West HS,180,1,0.6,176,97.8,0,0,0,0,2,1.1,1,0.6,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,609864,2860,Cook,479,1,0.2,474,99,0,0,0,0,2,0.4,2,0.4,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609866,2880,Coonley,663,353,53.2,15,2.3,0,0,3,0.5,226,34.1,34,5.1,29,4.4,0,0,3,0.5,,,
Pilsen-Little Village Elementary Network,609867,2890,Cooper,700,4,0.6,7,1,0,0,6,0.9,669,95.6,1,0.1,5,0.7,0,0,8,1.1,,,
Englewood-Gresham Elementary Network,609869,2900,Copernicus,339,0,0,338,99.7,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,,,
Pilsen-Little Village Elementary Network,609870,2910,Corkery,630,4,0.6,117,18.6,0,0,4,0.6,502,79.7,1,0.2,0,0,1,0.2,1,0.2,,,
Far South Side High School Network,609761,1860,Corliss HS,622,3,0.5,608,97.7,0,0,1,0.2,8,1.3,1,0.2,0,0,0,0,1,0.2,,,
