,School Year,School ID,School Name,Homeroom,Count of Suspension Events,Dummy Room number to remove names,Original Homeroom
31437,2013-2014,609930,FUNSTON,A232,63,,A232
31438,2013-2014,610368,"HUGHES, L",A256,63,,A256
31439,2014-2015,609691,NORTH-GRAND HS,A273,63,,A273
31440,2014-2015,609691,NORTH-GRAND HS,A274,63,,A274
31441,2014-2015,609732,STEINMETZ COLLEGE PREP HS,A275,63,,A275
31442,2014-2015,609732,STEINMETZ COLLEGE PREP HS,A276,63,,A276
31443,2014-2015,609739,WASHINGTON HS,A277,63,,A277
31444,2010-2011,609704,FARRAGUT HS,A278,64,,A278
31445,2010-2011,609725,MORGAN PARK HS,A292,64,,A292
31446,2010-2011,609730,SENN HS,A293,64,,A293
31447,2010-2011,609732,STEINMETZ  HS,A294,64,,A294
31448,2010-2011,609741,HUBBARD HS,A295,64,,A295
31449,2010-2011,609754,CHGO MILITARY ACAD HS,A296,64,,A296
31450,2010-2011,609997,HOLMES,A297,64,,A297
31451,2010-2011,610059,MAYER,A201,64,,A201
31452,2010-2011,610198,TAYLOR,A203,64,,A203
31453,2010-2011,610227,WHITNEY,A206,64,,A206
31454,2011-2012,609716,KELVYN PARK HS,A207,64,,A207
31455,2011-2012,609733,SULLIVAN HS,A208,64,,A208
31456,2011-2012,609891,DOOLITTLE,A210,64,,A210
31457,2011-2012,609961,HEROES,A212,64,,A212
31458,2011-2012,610283,GUGGENHEIM,A215,64,,A215
31459,2012-2013,609676,DUNBAR HS,A217,64,,A217
31460,2012-2013,609732,STEINMETZ COLLEGE PREP HS,A103,64,,A103
31461,2012-2013,609790,BARTON,A104,64,,A104
31462,2012-2013,609791,BASS,A105,64,,A105
31463,2012-2013,610193,NEW SULLIVAN,B302A,64,,B302A
31464,2012-2013,610224,WEST PULLMAN,B303A,64,,B303A
31465,2012-2013,610241,MARCONI,A100,64,,A100
31466,2012-2013,610389,ORR HS,A202,64,,A202
31467,2013-2014,609713,HYDE PARK HS,A203,64,,A203
31468,2013-2014,609760,CARVER MILITARY,A300,64,,A300
31469,2013-2014,609955,GRESHAM,A302,64,,A302
31470,2013-2014,610340,CHGO ACAD HS,A303,64,,A303
31471,2010-2011,609704,FARRAGUT HS,A304,65,,A304
31472,2010-2011,609712,HIRSCH HS,A205,65,,A205
31473,2010-2011,609732,STEINMETZ  HS,A208,65,,A208
31474,2010-2011,609762,JULIAN HS,A209,65,,A209
31475,2010-2011,609764,JUAREZ HS,A213,65,,A213
31476,2010-2011,609900,CURTIS,A214,65,,A214
31477,2010-2011,610316,EARHART,A218,65,,A218
31478,2011-2012,609704,FARRAGUT HS,A303,65,,A303
31479,2011-2012,609710,HARLAN HS,A307,65,,A307
31480,2011-2012,610031,LAFAYETTE,A309,65,,A309
31481,2011-2012,610077,MORRILL,A310,65,,A310
31482,2012-2013,609977,WOODLAWN,A203,65,,A203
31483,2013-2014,609691,NORTH-GRAND HS,A205,65,,A205
31484,2013-2014,609712,HIRSCH HS,A207,65,,A207
31485,2013-2014,609713,HYDE PARK HS,A304,65,,A304
31486,2013-2014,609851,CHALMERS,A305,65,,A305
31487,2013-2014,610547,SOUTH SHORE INTL HS,A306,65,,A306
31488,2014-2015,609739,WASHINGTON HS,A307,65,,A307
31489,2010-2011,609710,HARLAN HS,A218,66,,A218
31490,2010-2011,609894,DRAKE,A304,66,,A304
31491,2010-2011,609917,FERNWOOD,A401,66,,A401
31492,2010-2011,609981,HEARST,A402,66,,A402
31493,2010-2011,610148,CHAVEZ,A403,66,,A403
31494,2010-2011,610245,DOUGLASS HS,A405,66,,A405
31495,2010-2011,610265,BANNEKER,A406,66,,A406
