School ID,School Name,School Network,School Year,Time Period1,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
610513,AIR FORCE HS,Military,2013-2014,EOY,228,98,103,27,153,67.1,27,11.8,7.6,22,6.2,1,127,55.7,35.74,83,23.4,2.39,9,3.9,2.53,9,2.5,0,0
610513,AIR FORCE HS,Service Leadership Academies,2014-2015,S1,325,238,82,5,60,18.5,15,4.6,4.1,13,3.6,1,46,14.2,12.58,30,8.2,1.52,4,1.2,1.09,4,1.1,0,0
610513,AIR FORCE HS,Service Leadership Academies,2014-2015,EOY,1108,929,158,21,139,12.5,42,3.8,11.65,36,10,1,98,8.8,27.18,59,16.4,2.2,15,1.4,4.16,15,4.2,1,0.28
610212,ALBANY PARK,ES Network - O'Hare,2011-2012,EOY,6,1,5,0,6,100,3,50,1.13,3,1.1,1.33,3,50,1.13,2,0.8,5,0,0,0,0,0,0,0
610212,ALBANY PARK,ES Network - O'Hare,2012-2013,EOY,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610212,ALBANY PARK,Network 1,2013-2014,S1,5,0,0,5,5,100,0,0,0,0,0,0,5,100,1.79,4,1.4,2.8,4,80,1.43,3,1.1,0,0
610212,ALBANY PARK,Network 1,2013-2014,EOY,38,22,11,5,10,26.3,1,2.6,0.35,1,0.4,1,9,23.7,3.19,7,2.5,2.22,6,15.8,2.13,4,1.4,0,0
610212,ALBANY PARK,Network 1,2014-2015,S1,18,9,9,0,2,11.1,2,11.1,0.74,2,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
610212,ALBANY PARK,Network 1,2014-2015,EOY,49,26,21,2,8,16.3,4,8.2,1.46,3,1.1,1,4,8.2,1.46,3,1.1,2,6,12.2,2.19,3,1.1,0,0
609774,ALCOTT ES,HS Network - North-Northwest Side,2011-2012,EOY,11,0,11,0,10,90.9,4,36.4,0.84,4,0.8,1,6,54.5,1.27,6,1.3,1.67,0,0,0,0,0,0,0
